id,brand,model,model_year,milage,fuel_type,engine,transmission,ext_col,int_col,accident,clean_title,price
481,Audi,S4 3.0T Premium Plus,2022,8700,Gasoline,349.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Silver,Black,None reported,Yes,275000
482,Chevrolet,Bolt EUV Premier,2022,31000,Hybrid,200.0HP Electric Motor Electric Fuel System,A/T,Silver,White,None reported,Yes,47999
483,Ford,Bronco Big Bend Advanced,2021,12000,Gasoline,315.0HP 2.7L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,Gray,Black,None reported,Yes,41500
484,Subaru,Impreza 2.0i Premium,2013,116500,Gasoline,152.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,CVT Transmission,Black,Black,None reported,Yes,20708
485,Chevrolet,Camaro 2SS,2016,74000,Gasoline,455.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,Orange,Black,At least 1 accident or damage reported,Yes,26800
486,Porsche,Cayenne GTS,2017,47850,Gasoline,440.0HP 4.8L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,None reported,Yes,52999
487,Porsche,911 Carrera S,2023,1800,Gasoline,443.0HP 3.0L Flat 6 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,Black,None reported,Yes,107900
488,Ford,Transit-350 XLT,2019,65441,Gasoline,310.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Brown,None reported,Yes,43000
489,Lincoln,Nautilus Reserve,2022,27654,Gasoline,2.7L V6 24V GDI DOHC Twin Turbo,8-Speed Automatic,Oxford White,Sandstone,None reported,,38900
490,Lexus,GX 460 Premium,2017,51335,Gasoline,301.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,Gray,Beige,At least 1 accident or damage reported,Yes,25800
491,BMW,M3 Base,2001,64500,Gasoline,333.0HP 3.2L Straight 6 Cylinder Engine Gasoline Fuel,5-Speed M/T,Silver,Black,None reported,Yes,15000
492,Nissan,Maxima 3.5 SR,2020,60930,Gasoline,290.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,CVT Transmission,Gold,Black,At least 1 accident or damage reported,Yes,23400
493,BMW,X1 xDrive28i,2020,42750,Gasoline,228.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,Red,None reported,Yes,38000
494,Land,Rover Discovery Sport SE,2019,8228,Gasoline,380.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,Black,None reported,Yes,78990
495,Dodge,Sprinter 2500 High Roof,2000,135000,Diesel,154.0HP 2.7L 5 Cylinder Engine Diesel Fuel,A/T,White,–,At least 1 accident or damage reported,Yes,15000
496,Ford,F-250 Lariat,2016,92671,Diesel,440.0HP 6.7L 8 Cylinder Engine Diesel Fuel,6-Speed A/T,Gray,Black,None reported,Yes,16500
497,Lexus,LX 570 Three-Row,2021,28800,Gasoline,383.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,Red,None reported,Yes,52590
498,BMW,M4 Competition xDrive,2022,1050,Gasoline,503.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,Yes,30000
499,Ford,Shelby GT350R Base,2020,33000,Gasoline,526.0HP 5.2L 8 Cylinder Engine Gasoline Fuel,M/T,White,Black,None reported,Yes,49990
500,BMW,328 xi,2006,96680,Gasoline,225.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,Yes,12500
501,Lexus,LX 570 Three-Row,2019,31150,Gasoline,383.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,A/T,White,Brown,None reported,Yes,42500
502,Lexus,IS 250 Base,2006,151896,Gasoline,204.0HP 2.5L V6 Cylinder Engine Gasoline Fuel,A/T,Beige,Beige,At least 1 accident or damage reported,Yes,12990
503,Land,Rover Range Rover Sport Supercharged HSE,2021,19800,Gasoline,340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,9-Speed A/T,White,Black,None reported,Yes,59000
504,Land,Rover Range Rover HSE SWB,2020,36000,Gasoline,380.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,Yes,112500
505,Ford,F-250 Lariat,2021,28220,Diesel,475.0HP 6.7L 8 Cylinder Engine Diesel Fuel,10-Speed A/T,Gold,Black,None reported,Yes,75000
506,Mercedes-Benz,GLK-Class GLK 350,2014,72639,Gasoline,302.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,None reported,Yes,10500
507,Ford,Shelby GT500 Base,2021,10400,Gasoline,760.0HP 5.2L 8 Cylinder Engine Gasoline Fuel,10-Speed A/T,Black,Black,None reported,Yes,47124
508,Ford,Transit-350 XLT,2019,18000,Gasoline,275.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,A/T,White,Black,None reported,Yes,46900
509,Porsche,911 Carrera 4S,2018,18494,Gasoline,420.0HP 3.0L Flat 6 Cylinder Engine Gasoline Fuel,7-Speed M/T,Silver,Black,None reported,Yes,94999
510,Ford,Fusion Hybrid SE,2013,84421,Hybrid,188.0HP 2.0L 4 Cylinder Engine Gas/Electric Hybrid,A/T,Silver,Black,None reported,Yes,22000
511,Chevrolet,Suburban 1500 LS,1999,119500,Gasoline,300.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,A/T,Green,Beige,At least 1 accident or damage reported,Yes,13800
512,Hyundai,Genesis Coupe 3.8 Base,2015,67686,Gasoline,348.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,At least 1 accident or damage reported,Yes,18400
513,GMC,Acadia SLE,2020,69185,Gasoline,2.5L I4 16V GDI DOHC,8-Speed Automatic,Ebony Black,Jet Black,None reported,Yes,30825
514,Toyota,Highlander XLE,2022,29000,Gasoline,295.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,CVT Transmission,White,Black,At least 1 accident or damage reported,Yes,39990
515,Ford,Focus RS Base,2014,37060,Gasoline,350.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Blue,Gray,At least 1 accident or damage reported,Yes,29950
516,Mercedes-Benz,E-Class E 350 4MATIC,2013,73091,Gasoline,268.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Gray,Black,None reported,Yes,15500
517,Nissan,Murano SL,2004,245000,Gasoline,240.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Gray,Gray,At least 1 accident or damage reported,Yes,5500
518,BMW,X5 xDrive40i,2020,41000,Gasoline,335.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,White,At least 1 accident or damage reported,Yes,50000
519,BMW,340 i,2019,48000,Gasoline,320.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Beige,None reported,Yes,46000
520,Lexus,GX 460 Base,2018,45000,Gasoline,301.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,White,Beige,None reported,Yes,50000
521,Mercedes-Benz,AMG GT 63 S 4-Door,2020,23152,Gasoline,630.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,–,Black,None reported,Yes,64600
522,Subaru,Impreza WRX STI,2014,67250,Gasoline,305.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,Black,Black,None reported,Yes,15500
523,Volkswagen,Golf GTI 2.0T SE 4-Door,2016,89500,Gasoline,220.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,White,Black,None reported,Yes,16999
524,Chevrolet,Camaro 1SS,2021,73846,Gasoline,5.3L V8 16V GDI OHV,6-Speed Automatic,Black Cherry,Black,None reported,Yes,34645
525,INFINITI,QX60 Luxe,2018,38400,Gasoline,295.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Blue,Gray,None reported,Yes,21250
526,BMW,535 i xDrive,2011,76500,Gasoline,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,A/T,Black,Beige,At least 1 accident or damage reported,Yes,15999
527,GMC,Yukon XL Denali,2023,4500,Gasoline,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,10-Speed A/T,Gray,Black,None reported,Yes,92888
528,Mercedes-Benz,E-Class E 350 4MATIC,2009,82900,Gasoline,302.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,Beige,At least 1 accident or damage reported,Yes,11970
529,Mercedes-Benz,GL-Class GL 450 4MATIC,2012,87000,Gasoline,335.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,Black,None reported,Yes,22500
530,Kia,Optima LX,2015,109580,Gasoline,200.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,A/T,Silver,Black,None reported,Yes,19500
531,Toyota,Land Cruiser Base,1997,150000,Gasoline,212.0HP 4.5L Straight 6 Cylinder Engine Gasoline Fuel,5-Speed A/T,Black,Beige,At least 1 accident or damage reported,Yes,6399
532,Dodge,Challenger R/T Scat Pack,2021,35000,–,–,8-Speed A/T,Blue,Gray,None reported,Yes,48000
533,Kia,Telluride SX,2017,56450,Gasoline,291.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,Black,At least 1 accident or damage reported,Yes,30000
534,RAM,1500 Tradesman/Express,2022,24906,Gasoline,3.6 Liter DOHC,Automatic,Delmonico Red Pearlcoat,Black,None reported,,42998
535,Toyota,Tacoma Double Cab,2005,242000,Gasoline,236.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,5-Speed A/T,White,–,None reported,Yes,6880
