id,brand,model,model_year,milage,fuel_type,engine,transmission,ext_col,int_col,accident,price
331,Kia,Forte GT-Line,2021,77690,Gasoline,200.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,CVT Transmission,White,Black,None reported,13600
332,Nissan,350Z Enthusiast,2008,10001,Gasoline,306.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Purple,–,At least 1 accident or damage reported,10999
333,Mercedes-Benz,SLK-Class SLK320,2001,170000,Gasoline,215.0HP 3.2L V6 Cylinder Engine Gasoline Fuel,5-Speed A/T,Black,Beige,,6000
334,Ford,F-150 Lariat,2018,94634,Gasoline,375.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,Gray,Black,None reported,53000
335,Mazda,Mazda6 Touring,2020,22227,Gasoline,2.5L I4 16V GDI DOHC,6-Speed Automatic,Deep Crystal Blue Mica,Black,None reported,26299
336,Ford,Mustang GT Premium,2014,110000,Gasoline,412.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,Black,Black,At least 1 accident or damage reported,17000
337,Chrysler,300C Base,2001,85000,Gasoline,150.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,5-Speed M/T,Black,Black,None reported,8995
338,BMW,M3 CS,2018,98000,Gasoline,453.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,A/T,Black,Black,At least 1 accident or damage reported,99000
339,Honda,Civic EX,2004,190640,Gasoline,140.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,A/T,Silver,Silver,At least 1 accident or damage reported,5995
340,Mercedes-Benz,E-Class E 550,2019,16000,Gasoline,402.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,Purple,Black,None reported,48000
341,RAM,1500 Laramie,2019,5779,Gasoline,5.7L V8 16V MPFI OHV,8-Speed Automatic,Flame Red Clearcoat,Black,None reported,30427
342,Porsche,911 Turbo,2008,132252,Gasoline,480.0HP 3.6L Flat 6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Black,Black,None reported,22995
343,Jeep,Grand Cherokee Limited,2021,15895,Hybrid,3.6L V6 24V MPFI DOHC Hybrid,Automatic,Metallic,Global Black,None reported,44791
344,Dodge,Challenger SRT Hellcat,2018,29475,Gasoline,707.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Green,Green,None reported,69900
345,Hummer,H3 Base,2008,184000,Gasoline,242.0HP 3.7L 5 Cylinder Engine Gasoline Fuel,4-Speed A/T,Beige,Beige,At least 1 accident or damage reported,9995
346,BMW,328 i xDrive,2015,87000,Gasoline,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,None reported,17900
347,Jeep,Liberty Sport,2009,134000,Gasoline,210.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Brown,None reported,5500
348,Volkswagen,Eurovan MV,2001,121800,Gasoline,140.0HP 2.8L V6 Cylinder Engine Gasoline Fuel,A/T,Green,Black,None reported,2300
349,Land,Rover Defender 110 SE,2022,16500,Hybrid,395.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,8-Speed A/T,Green,Black,None reported,146000
350,Mercedes-Benz,GLS 550 Base 4MATIC,2018,67482,Gasoline,449.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,9-Speed A/T,White,Beige,None reported,349950
351,BMW,750 i xDrive,2021,27000,Gasoline,445.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,None reported,61000
352,Ford,F-150 XLT,2021,2823,Gasoline,3.5L V6 24V PDI DOHC Twin Turbo,10-Speed Automatic,Black,Medium Stone,None reported,73500
353,RAM,2500 Longhorn,2014,83424,Diesel,350.0HP 6.7L Straight 6 Cylinder Engine Diesel Fuel,6-Speed A/T,Silver,Gray,None reported,26000
354,Mercedes-Benz,AMG G 63 Base,2020,39800,Gasoline,563.0HP 5.5L 8 Cylinder Engine Gasoline Fuel,A/T,White,Black,None reported,166900
355,Audi,A7 3.0T Prestige,2016,143250,Hybrid,335.0HP 3.0L V6 Cylinder Engine Gasoline/Mild Electric Hybrid,A/T,White,Brown,At least 1 accident or damage reported,31000
356,Honda,Accord EX-L 2.0T,2020,28663,Gasoline,2.0L I4 16V GDI SOHC Turbo,9-Speed Automatic,Lunar Blue Metallic,Black,None reported,39777
357,Toyota,Grand Cherokee L Laredo,2022,14676,Gasoline,3.6L V6 24V MPFI DOHC,Automatic,Bright White Clearcoat,Black,None reported,53722
358,Ford,F-250 XLT,2021,12900,Diesel,450.0HP 6.7L 8 Cylinder Engine Diesel Fuel,10-Speed A/T,Gray,Gray,None reported,69000
359,Cadillac,XT5 Base,2016,99982,Gasoline,310.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,At least 1 accident or damage reported,24500
360,Ford,Bronco Sport Big Bend,2021,31681,Gasoline,1.5L I3 12V PDI DOHC Turbo,8-Speed Automatic,Rapid Red Metallic Tinted Clearcoat,Navy Pier,None reported,33490
361,RAM,2500 SLT,2016,69600,Gasoline,410.0HP 6.4L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,Blue,Gray,,35900
362,Ford,F-150 XLT,2019,36000,Gasoline,325.0HP 2.7L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,Blue,Black,None reported,36500
363,Land,Rover Range Rover Velar R-Dynamic SE,2019,75897,Gasoline,5.0L V8 32V GDI DOHC Supercharged,Automatic,Black,Black,None reported,38598
364,Alfa,Romeo Giulia Base,2022,9880,Gasoline,2.0L I4 16V GDI SOHC Turbo,8-Speed Automatic,Caviar,Black,None reported,29430
365,Dodge,Ram 1500 SRT-10 Quad Cab,2008,153692,Gasoline,500.0HP 8.3L 10 Cylinder Engine Gasoline Fuel,4-Speed A/T,Silver,Black,None reported,10500
366,Lexus,RX 350 F Sport Performance,2016,84421,Gasoline,295.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Silver,Black,None reported,24500
367,Land,Rover Range Rover 5.0L Supercharged Autobiography LWB,2016,56000,Gasoline,518.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Blue,Blue,None reported,34900
368,Cadillac,Escalade ESV Platinum,2022,2620,Gasoline,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,A/T,Gray,Black,None reported,63500
369,Mercedes-Benz,GLS 450 Base 4MATIC,2019,28800,Gasoline,362.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,9-Speed A/T,Silver,Black,None reported,59500
370,Ford,E350 Super Duty XLT,2010,26021,E85 Flex Fuel,255.0HP 5.4L 8 Cylinder Engine Flex Fuel Capability,A/T,Silver,Gray,At least 1 accident or damage reported,6800
371,Audi,Q7 3.0T Premium Plus,2014,80800,Gasoline,200.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,Blue,Beige,None reported,12980
372,Toyota,Camry Hybrid Base,2011,116500,Hybrid,147.0HP 2.4L 4 Cylinder Engine Gas/Electric Hybrid,A/T,White,Black,At least 1 accident or damage reported,13715
373,Audi,A6 3.0T Prestige,2018,38000,Gasoline,310.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Beige,At least 1 accident or damage reported,31000
374,Mercedes-Benz,SL-Class SL 550,2015,60000,Gasoline,429.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,White,Beige,None reported,26000
375,Jeep,Wrangler Sahara Altitude,2017,12500,Hybrid,285.0HP 3.6L V6 Cylinder Engine Gasoline/Mild Electric Hybrid,A/T,Gray,Silver,None reported,79999
376,Mercedes-Benz,GLC 300 GLC 300,2022,16184,Gasoline,2.0 Liter Turbo,Automatic,Black,–,None reported,37698
377,Land,Rover Range Rover 3.0L Supercharged,2021,2492,Gasoline,5.0 Liter,Automatic,Lunar Blue Metallic,–,None reported,39998
378,Mercedes-Benz,S-Class S 63 AMG,2012,40000,Gasoline,536.0HP 5.5L 8 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,21500
379,Tesla,Model X 75D,2023,5338,,518.0HP Electric Motor Electric Fuel System,A/T,Gray,White,None reported,97500
380,BMW,M5 Base,2015,35000,Gasoline,560.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Green,White,None reported,145000
381,BMW,328 i xDrive,2013,106000,Gasoline,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Silver,Black,At least 1 accident or damage reported,6399
382,Chevrolet,Silverado 1500 RST,2022,36544,Gasoline,5.3L V8 16V GDI OHV,10-Speed Automatic,Dark Ash Metallic,Dark Ash,None reported,68420
383,Mercedes-Benz,Sprinter High Roof,2015,41500,Diesel,188.0HP 3.0L V6 Cylinder Engine Diesel Fuel,A/T,Silver,Black,None reported,62000
384,Mercedes-Benz,G-Class G 550 4MATIC,2022,6758,Gasoline,416.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,A/T,White,Black,None reported,77430
385,Porsche,Cayenne Base,2018,44000,Gasoline,300.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Gray,None reported,57000
386,Mazda,MX-5 Miata Base,2008,72348,Gasoline,140.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Blue,None reported,17200
387,Ford,F-150 Lariat,2010,107000,Gasoline,365.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Black,None reported,15000
388,Ford,Mustang GT Premium,2016,34988,Gasoline,435.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,Orange,Black,None reported,30000
389,BMW,Equus Signature,2013,82000,Gasoline,429.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Red,Beige,None reported,17900
390,Toyota,Sequoia Limited,2013,143600,Gasoline,362.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Silver,Black,At least 1 accident or damage reported,17500
391,Tesla,Model X Base,2023,197,,557.0HP Electric Motor Electric Fuel System,1-Speed A/T,Gray,Black,None reported,197750
392,Mercedes-Benz,AMG G 63 Base,2020,22185,Gasoline,4.0L V8 32V GDI DOHC Twin Turbo,9-Speed Automatic,Black,Black,None reported,24899
393,Jeep,Wagoneer Series III,2022,16184,Gasoline,5.7L V8 16V MPFI OHV,8-Speed Automatic,Velvet Red Pearlcoat,Black,None reported,85989
394,Mercedes-Benz,E-Class E 350,2007,184000,Gasoline,302.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Gold,Black,At least 1 accident or damage reported,3600
395,Ford,F-150 XLT,2018,52500,Gasoline,325.0HP 2.7L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,34000
396,BMW,750 i xDrive,2019,19813,Gasoline,523.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Silver,–,None reported,57850
397,MINI,Cooper S Base,2008,86000,Gasoline,172.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,Gold,Beige,At least 1 accident or damage reported,16500
398,BMW,M4 Base,2016,27123,Gasoline,425.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Red,Beige,None reported,20950
399,BMW,M4 Competition xDrive,2020,1120,Gasoline,503.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Gray,Orange,None reported,44900
400,Chevrolet,Avalanche 1500 LS,2004,152000,Gasoline,295.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,A/T,White,Gray,At least 1 accident or damage reported,9999
401,INFINITI,Q60 3.0T Premium,2017,71097,Gasoline,300.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,Black,None reported,29950
402,Nissan,Altima 2.5 SL,2013,116000,Gasoline,170.0HP 2.5L 5 Cylinder Engine Gasoline Fuel,A/T,Silver,Black,At least 1 accident or damage reported,11999
403,INFINITI,QX80 Luxe,2022,69000,Gasoline,400.0HP 5.6L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,Black,None reported,39777
404,Audi,A4 2.0T Premium,2012,105000,Gasoline,211.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,Black,None reported,8500
405,Ford,Explorer Eddie Bauer,2021,12500,E85 Flex Fuel,310.0HP 5.4L 8 Cylinder Engine Flex Fuel Capability,A/T,Silver,Black,At least 1 accident or damage reported,55000
406,Mazda,MX-5 Miata Base,2001,125800,Gasoline,142.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,5-Speed M/T,Silver,Black,None reported,8000
407,BMW,740 i,2013,59300,Gasoline,320.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Black,Red,None reported,32500
408,Hyundai,Sonata Hybrid Limited,2016,110000,Hybrid,199.0HP 2.4L 4 Cylinder Engine Gas/Electric Hybrid,A/T,Black,Gray,At least 1 accident or damage reported,16000
409,BMW,328 i,2011,126700,Gasoline,230.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,A/T,White,Beige,None reported,16000
410,Jeep,Gladiator Overland,2023,4500,Gasoline,285.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,9-Speed A/T,White,Beige,None reported,62999
411,Ford,F-250 XLT,2022,40110,Diesel,450.0HP 6.7L 8 Cylinder Engine Diesel Fuel,10-Speed A/T,Gray,Black,At least 1 accident or damage reported,47995
412,Hyundai,Sonata GLS,2012,136991,Gasoline,201.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,2-Speed A/T,White,Black,None reported,12500
413,Porsche,911 Carrera,2015,56578,Gasoline,350.0HP 3.4L Flat 6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Silver,Black,None reported,29000
414,Nissan,Frontier SV,2013,63300,Gasoline,261.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,5-Speed A/T,White,Gray,At least 1 accident or damage reported,33000
415,Kia,Sorento SX Prestige,2023,31654,Gasoline,2.5L I4 16V GDI DOHC,Automatic,Glacial White Pearl,Black,None reported,48889
416,Ford,Bronco Outer Banks Advanced,2021,44000,Gasoline,315.0HP 2.7L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,Black,Black,None reported,22000
417,Porsche,911 Turbo S,2023,16701,Gasoline,4.0L H6 24V GDI DOHC,6-Speed Manual,White,Black,None reported,275000
418,Chevrolet,Bolt EV LT,2016,89000,,200.0HP Electric Motor Electric Fuel System,A/T,Red,Black,None reported,14500
419,Jeep,Grand Cherokee L Limited,2022,12875,Gasoline,3.6L V6 24V MPFI DOHC,8-Speed Automatic,Silver Zynith,Global Black,,39860
420,RAM,1500 Limited,2017,19000,Gasoline,395.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,A/T,White,Black,None reported,25000
421,Mercedes-Benz,AMG E 63 S 4MATIC,2020,28200,Gasoline,603.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,9-Speed A/T,Black,Black,None reported,92500
422,Ford,F-350 Lariat,2019,3763,Diesel,450.0HP 6.7L 8 Cylinder Engine Diesel Fuel,6-Speed A/T,Green,Black,At least 1 accident or damage reported,47999
423,Lincoln,MKC Base,2015,87500,Gasoline,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Black,None reported,17900
424,Lexus,GX 470 Base,2007,215000,Gasoline,263.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,A/T,Black,Gray,At least 1 accident or damage reported,10499
425,Audi,A6 55 Premium,2019,34580,Hybrid,335.0HP 3.0L V6 Cylinder Engine Gasoline/Mild Electric Hybrid,7-Speed A/T,Black,Beige,None reported,37000
426,RAM,1500 Laramie,2021,33704,Gasoline,5.7L V8 16V MPFI OHV,8-Speed Automatic,Super Black,Black,None reported,88950
427,BMW,650 Gran Coupe i xDrive,2015,43500,Gasoline,445.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,None reported,43550
428,Mercedes-Benz,E-Class E 350,2012,95428,Gasoline,302.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,7-Speed A/T,White,Black,None reported,10000
429,Chevrolet,Suburban LT,2018,92000,Gasoline,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,Gray,Black,At least 1 accident or damage reported,22999
430,Porsche,Bronco Wildtrak Advanced,2022,10900,Gasoline,315.0HP 2.7L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,None reported,65700
431,Ford,F-150 XLT,2017,64517,E85 Flex Fuel,282.0HP 3.5L V6 Cylinder Engine Flex Fuel Capability,6-Speed A/T,Gray,Gray,None reported,34000
432,Jaguar,XF 25t Prestige,2018,50340,Gasoline,247.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,Gray,White,None reported,29000
433,Ferrari,F12berlinetta Base,2017,25520,Gasoline,6.3L V12 48V GDI DOHC,7-Speed Automatic with Auto-Shift,Gray,BLACK,None reported,449995
434,Ford,F-150 Platinum,2020,45617,Gasoline,400.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,Gray,Black,None reported,40100
435,Lexus,IS 250C Base,2007,133500,Gasoline,204.0HP 2.5L V6 Cylinder Engine Gasoline Fuel,A/T,White,Beige,None reported,9000
436,Chevrolet,Camaro Z28,2019,73350,Gasoline,455.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,None reported,46750
437,Mazda,CX-30 Select,2021,39102,Gasoline,2.5L I4 16V GDI DOHC,6-Speed Automatic,Black,Black,At least 1 accident or damage reported,36570
438,Toyota,Tundra SR5 Access Cab,2010,209500,Gasoline,282.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,5-Speed A/T,Gray,Gray,None reported,16000
439,Toyota,Land Cruiser Base,2003,121800,Gasoline,230.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,A/T,Silver,Beige,At least 1 accident or damage reported,5800
440,Mercedes-Benz,AMG GLE 43 Coupe 4MATIC,2018,71200,Gasoline,385.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,9-Speed A/T,Blue,Brown,None reported,24900
441,BMW,335 is,2012,47000,Gasoline,320.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Black,Black,None reported,130000
442,Jeep,Compass Sport,2008,106700,Gasoline,182.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,A/T,Gray,Gray,None reported,7500
443,Subaru,Impreza WRX,2010,67500,Gasoline,305.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,Gray,Black,At least 1 accident or damage reported,55000
444,Jaguar,XF Premium,2018,41000,Gasoline,380.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Silver,Black,None reported,24500
445,GMC,Sierra 1500 SLT,2021,76100,Gasoline,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,A/T,White,Black,None reported,31700
446,Ford,F-250 XLT,2022,48641,Diesel,6.7L I6 24V DDI OHV Turbo Diesel,Automatic,Antimatter Blue Metallic,Portland,None reported,76740
447,Audi,A6 3.0T Premium Plus,2018,63398,Gasoline,333.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,A/T,Silver,Black,At least 1 accident or damage reported,26499
448,Audi,RS 7 4.0T Performance Prestige,2017,14269,Gasoline,605.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Gray,Black,None reported,250000
449,Mercedes-Benz,E-Class E 350,2004,95816,Gasoline,302.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Silver,Black,At least 1 accident or damage reported,16900
450,Subaru,WRX Base,2015,73120,Gasoline,268.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,M/T,Black,Black,None reported,21495
451,BMW,750 i xDrive,2019,38000,Gasoline,445.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Orange,Orange,At least 1 accident or damage reported,49999
452,Buick,Enclave Premium,2022,25420,Gasoline,3.6L V6 24V GDI DOHC,6-Speed Automatic,Dark Moon Blue Metallic,Ebony,None reported,28600
453,Toyota,Tundra SR5 Double Cab,2007,122961,Gasoline,282.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,A/T,Gray,Gray,None reported,14000
454,Chevrolet,Camaro 2SS,2023,7000,Gasoline,455.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,White,Gray,None reported,50000
455,Jaguar,F-PACE 30t R-Sport,2018,61308,Gasoline,247.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,None reported,28000
456,Ford,F-250 XL SuperCab H/D,1997,90400,Gasoline,220.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,A/T,Red,Gray,None reported,2800
457,Land,Rover LR2 Base,2016,112465,Gasoline,340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Red,Beige,None reported,36500
458,Chevrolet,Silverado 1500 2LT,2019,81000,E85 Flex Fuel,355.0HP 5.3L 8 Cylinder Engine Flex Fuel Capability,Transmission Overdrive Switch,Gray,Gray,None reported,32300
459,Porsche,Cayman R,2016,38012,Gasoline,3.4L H6 24V MPFI DOHC,7-Speed Automatic with Auto-Shift,Firecracker Red Clearcoat,Black,None reported,131999
460,Mercedes-Benz,AMG G 63 4MATIC,2021,17900,Gasoline,605.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gray,Black,None reported,91000
461,Chevrolet,Suburban 1500 LS,1998,134033,Gasoline,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,4-Speed A/T,Red,Gray,At least 1 accident or damage reported,29995
462,Mercedes-Benz,Sprinter 2500,2004,158366,Diesel,161.0HP 2.1L 4 Cylinder Engine Diesel Fuel,A/T,White,–,At least 1 accident or damage reported,2300
463,Ford,Edge SEL,2019,32117,Gasoline,2.0L I4 16V GDI DOHC Turbo,8-Speed Automatic,Gray,Ebony,None reported,26125
464,Ford,F-350 Lariat,2017,51830,Diesel,440.0HP 6.7L 8 Cylinder Engine Diesel Fuel,6-Speed A/T,Red,Black,None reported,27500
465,Cadillac,Escalade ESV Sport,2014,92000,Gasoline,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Silver,None reported,70250
466,Ford,F-150 XLT,2021,43000,Gasoline,325.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,Black,Gray,None reported,46500
467,Acura,ILX 2.4L,2016,139804,Gasoline,150.0HP 1.4L 4 Cylinder Engine Gasoline Fuel,A/T,Blue,Gray,None reported,10500
468,Ford,F-250 Platinum,2019,9142,Diesel,450.0HP 6.7L 8 Cylinder Engine Diesel Fuel,10-Speed A/T,Black,Black,None reported,71000
469,BMW,X3 xDrive30i,2021,23647,Gasoline,2.0L I4 16V GDI DOHC Turbo,8-Speed Automatic,Black Sapphire Metallic,Canberra Beige,None reported,11499
470,Porsche,911 GT3,2009,13250,Gasoline,475.0HP 3.8L Flat 6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Blue,Black,None reported,75499
471,RAM,1500 Tradesman/Express,2015,25000,Gasoline,395.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,A/T,Gray,Black,At least 1 accident or damage reported,19990
472,Buick,Envision Essence,2020,61720,Gasoline,2.0L I4 16V GDI DOHC Turbo,Automatic,Summit White,Ebony,None reported,29725
473,Ford,Explorer ST,2016,71964,Gasoline,365.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Black,None reported,28500
474,Mercedes-Benz,Sprinter 2500 Standard Roof,2016,88900,Diesel,188.0HP 3.0L V6 Cylinder Engine Diesel Fuel,7-Speed A/T,White,Beige,None reported,39100
475,BMW,330 i xDrive,2019,26000,Gasoline,248.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,White,Beige,None reported,37000
476,Porsche,Macan S,2011,185520,Gasoline,340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,7-Speed A/T,White,Beige,At least 1 accident or damage reported,7999
477,Lexus,RX 350 F Sport Performance,2018,62660,Gasoline,295.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Red,–,None reported,25500
478,Toyota,Highlander SE,2019,59203,Gasoline,295.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Black,At least 1 accident or damage reported,20900
479,Lexus,GX 460 Base,2018,63500,Gasoline,301.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,A/T,Gray,Gray,None reported,58000
480,Jeep,Wrangler Sahara,2009,87500,Gasoline,202.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,A/T,Brown,Black,None reported,12000
481,Audi,S4 3.0T Premium Plus,2022,8700,Gasoline,349.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Silver,Black,None reported,275000
482,Chevrolet,Bolt EUV Premier,2022,31000,Hybrid,200.0HP Electric Motor Electric Fuel System,A/T,Silver,White,None reported,47999
483,Ford,Bronco Big Bend Advanced,2021,12000,Gasoline,315.0HP 2.7L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,Gray,Black,None reported,41500
484,Subaru,Impreza 2.0i Premium,2013,116500,Gasoline,152.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,CVT Transmission,Black,Black,None reported,20708
485,Chevrolet,Camaro 2SS,2016,74000,Gasoline,455.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,Orange,Black,At least 1 accident or damage reported,26800
486,Porsche,Cayenne GTS,2017,47850,Gasoline,440.0HP 4.8L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,None reported,52999
487,Porsche,911 Carrera S,2023,1800,Gasoline,443.0HP 3.0L Flat 6 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,Black,None reported,107900
488,Ford,Transit-350 XLT,2019,65441,Gasoline,310.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Brown,None reported,43000
489,Lincoln,Nautilus Reserve,2022,27654,Gasoline,2.7L V6 24V GDI DOHC Twin Turbo,8-Speed Automatic,Oxford White,Sandstone,None reported,38900
490,Lexus,GX 460 Premium,2017,51335,Gasoline,301.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,Gray,Beige,At least 1 accident or damage reported,25800
491,BMW,M3 Base,2001,64500,Gasoline,333.0HP 3.2L Straight 6 Cylinder Engine Gasoline Fuel,5-Speed M/T,Silver,Black,None reported,15000
492,Nissan,Maxima 3.5 SR,2020,60930,Gasoline,290.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,CVT Transmission,Gold,Black,At least 1 accident or damage reported,23400
493,BMW,X1 xDrive28i,2020,42750,Gasoline,228.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,Red,None reported,38000
494,Land,Rover Discovery Sport SE,2019,8228,Gasoline,380.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,Black,None reported,78990
495,Dodge,Sprinter 2500 High Roof,2000,135000,Diesel,154.0HP 2.7L 5 Cylinder Engine Diesel Fuel,A/T,White,–,At least 1 accident or damage reported,15000
496,Ford,F-250 Lariat,2016,92671,Diesel,440.0HP 6.7L 8 Cylinder Engine Diesel Fuel,6-Speed A/T,Gray,Black,None reported,16500
497,Lexus,LX 570 Three-Row,2021,28800,Gasoline,383.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,Red,None reported,52590
